team_name, elimination_date 
Portland Trail Blazers, Playoffs
Atlanta Hawks, Playoffs
New York Knicks, 3/29/17
Dallas Mavericks, 4/1/17
Utah Jazz, Playoffs
Sacramento Kings, 3/29/17
Los Angeles Lakers, 3/17/17
Philadelphia 76ers, 3/29/17
Boston Celtics, Playoffs
Brooklyn Nets, 3/6/17
Oklahoma City Thunder, Playoffs
Milwaukee Bucks, Playoffs
Denver Nuggets, 4/9/17
LA Clippers, Playoffs
Houston Rockets, Playoffs
Cleveland Cavaliers, Playoffs
Indiana Pacers, Playoffs
New Orleans Pelicans, 4/4/17
Chicago Bulls, Playoffs
Orlando Magic, 3/28/17
San Antonio Spurs, Playoffs
Minnesota Timberwolves, 4/1/17
Washington Wizards, Playoffs
Detroit Pistons, 4/7/17
Memphis Grizzlies, Playoffs
Toronto Raptors, Playoffs
Phoenix Suns, 3/21/17
Golden State Warriors, Playoffs
Charlotte Hornets, 4/8/17
Miami Heat, 4/12/17
